"Plate","Replicate","Sample","OD550","Treatment","BiofilmMut","BlankAvg","OD550_Corrected","mutation","clones"
"plate1","A","M4",0.567,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.5025,"ywcC/slrR","m4"
"plate1","B","M4",1.503,"Vegetative","Vegetative:ywcC/slrR",0.0645,1.4385,"ywcC/slrR","m4"
"plate1","C","M4",0.935,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.8705,"ywcC/slrR","m4"
"plate1","D","M4",1.643,"Vegetative","Vegetative:ywcC/slrR",0.0645,1.5785,"ywcC/slrR","m4"
"plate1","E","M4",0.561,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.4965,"ywcC/slrR","m4"
"plate1","F","M4",0.89,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.8255,"ywcC/slrR","m4"
"plate1","G","M4",0.381,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.3165,"ywcC/slrR","m4"
"plate1","H","M4",1.039,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.9745,"ywcC/slrR","m4"
"plate1","A","M13",0.153,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.0885,"ywcC/slrR","m13"
"plate1","B","M13",0.186,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.1215,"ywcC/slrR","m13"
"plate1","C","M13",0.213,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.1485,"ywcC/slrR","m13"
"plate1","D","M13",0.241,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.1765,"ywcC/slrR","m13"
"plate1","E","M13",0.201,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.1365,"ywcC/slrR","m13"
"plate1","F","M13",0.194,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.1295,"ywcC/slrR","m13"
"plate1","G","M13",0.153,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.0885,"ywcC/slrR","m13"
"plate1","H","M13",0.18,"Vegetative","Vegetative:ywcC/slrR",0.0645,0.1155,"ywcC/slrR","m13"
"plate1","A","M17",0.077,"Vegetative","Vegetative:sinR",0.0645,0.0125,"sinR","m17"
"plate1","B","M17",0.1,"Vegetative","Vegetative:sinR",0.0645,0.0355,"sinR","m17"
"plate1","C","M17",0.106,"Vegetative","Vegetative:sinR",0.0645,0.0415,"sinR","m17"
"plate1","D","M17",0.097,"Vegetative","Vegetative:sinR",0.0645,0.0325,"sinR","m17"
"plate1","E","M17",0.094,"Vegetative","Vegetative:sinR",0.0645,0.0295,"sinR","m17"
"plate1","F","M17",0.087,"Vegetative","Vegetative:sinR",0.0645,0.0225,"sinR","m17"
"plate1","G","M17",0.083,"Vegetative","Vegetative:sinR",0.0645,0.0185,"sinR","m17"
"plate1","H","M17",0.066,"Vegetative","Vegetative:sinR",0.0645,0.0015,"sinR","m17"
"plate1","A","M19",0.094,"Vegetative","Vegetative:sinR",0.0645,0.0295,"sinR","m19"
"plate1","B","M19",0.08,"Vegetative","Vegetative:sinR",0.0645,0.0155,"sinR","m19"
"plate1","C","M19",0.199,"Vegetative","Vegetative:sinR",0.0645,0.1345,"sinR","m19"
"plate1","D","M19",0.079,"Vegetative","Vegetative:sinR",0.0645,0.0145,"sinR","m19"
"plate1","E","M19",0.075,"Vegetative","Vegetative:sinR",0.0645,0.0105,"sinR","m19"
"plate1","F","M19",0.142,"Vegetative","Vegetative:sinR",0.0645,0.0775,"sinR","m19"
"plate1","G","M19",0.081,"Vegetative","Vegetative:sinR",0.0645,0.0165,"sinR","m19"
"plate1","H","M19",0.076,"Vegetative","Vegetative:sinR",0.0645,0.0115,"sinR","m19"
"plate1","A","M21",0.144,"Vegetative","Vegetative:sinR",0.0645,0.0795,"sinR","m21"
"plate1","B","M21",0.165,"Vegetative","Vegetative:sinR",0.0645,0.1005,"sinR","m21"
"plate1","C","M21",0.136,"Vegetative","Vegetative:sinR",0.0645,0.0715,"sinR","m21"
"plate1","D","M21",0.128,"Vegetative","Vegetative:sinR",0.0645,0.0635,"sinR","m21"
"plate1","E","M21",0.164,"Vegetative","Vegetative:sinR",0.0645,0.0995,"sinR","m21"
"plate1","F","M21",0.094,"Vegetative","Vegetative:sinR",0.0645,0.0295,"sinR","m21"
"plate1","G","M21",0.105,"Vegetative","Vegetative:sinR",0.0645,0.0405,"sinR","m21"
"plate1","H","M21",0.153,"Vegetative","Vegetative:sinR",0.0645,0.0885,"sinR","m21"
"plate1","A","M23",0.451,"Spore","Spore",0.0645,0.3865,"spore","m23"
"plate1","B","M23",0.465,"Spore","Spore",0.0645,0.4005,"spore","m23"
"plate1","C","M23",0.446,"Spore","Spore",0.0645,0.3815,"spore","m23"
"plate1","D","M23",0.27,"Spore","Spore",0.0645,0.2055,"spore","m23"
"plate1","E","M23",0.274,"Spore","Spore",0.0645,0.2095,"spore","m23"
"plate1","F","M23",0.328,"Spore","Spore",0.0645,0.2635,"spore","m23"
"plate1","G","M23",0.313,"Spore","Spore",0.0645,0.2485,"spore","m23"
"plate1","H","M23",0.142,"Spore","Spore",0.0645,0.0775,"spore","m23"
"plate1","A","M26",0.081,"Spore","Spore",0.0645,0.0165,"spore","m26"
"plate1","B","M26",0.081,"Spore","Spore",0.0645,0.0165,"spore","m26"
"plate1","C","M26",0.114,"Spore","Spore",0.0645,0.0495,"spore","m26"
"plate1","D","M26",0.078,"Spore","Spore",0.0645,0.0135,"spore","m26"
"plate1","E","M26",0.07,"Spore","Spore",0.0645,0.0055,"spore","m26"
"plate1","F","M26",0.081,"Spore","Spore",0.0645,0.0165,"spore","m26"
"plate1","G","M26",0.077,"Spore","Spore",0.0645,0.0125,"spore","m26"
"plate1","H","M26",0.072,"Spore","Spore",0.0645,0.00749999999999999,"spore","m26"
"plate1","A","M41",0.124,"Vegetative","Vegetative:sinR",0.0645,0.0595,"sinR","m41"
"plate1","B","M41",0.113,"Vegetative","Vegetative:sinR",0.0645,0.0485,"sinR","m41"
"plate1","C","M41",0.113,"Vegetative","Vegetative:sinR",0.0645,0.0485,"sinR","m41"
"plate1","D","M41",0.142,"Vegetative","Vegetative:sinR",0.0645,0.0775,"sinR","m41"
"plate1","E","M41",0.092,"Vegetative","Vegetative:sinR",0.0645,0.0275,"sinR","m41"
"plate1","F","M41",0.101,"Vegetative","Vegetative:sinR",0.0645,0.0365,"sinR","m41"
"plate1","G","M41",0.08,"Vegetative","Vegetative:sinR",0.0645,0.0155,"sinR","m41"
"plate1","H","M41",0.152,"Vegetative","Vegetative:sinR",0.0645,0.0875,"sinR","m41"
"plate1","A","M54",0.108,"Vegetative","Vegetative:sinR",0.0645,0.0435,"sinR","m54"
"plate1","B","M54",0.089,"Vegetative","Vegetative:sinR",0.0645,0.0245,"sinR","m54"
"plate1","C","M54",0.085,"Vegetative","Vegetative:sinR",0.0645,0.0205,"sinR","m54"
"plate1","D","M54",0.088,"Vegetative","Vegetative:sinR",0.0645,0.0235,"sinR","m54"
"plate1","E","M54",0.082,"Vegetative","Vegetative:sinR",0.0645,0.0175,"sinR","m54"
"plate1","F","M54",0.083,"Vegetative","Vegetative:sinR",0.0645,0.0185,"sinR","m54"
"plate1","G","M54",0.084,"Vegetative","Vegetative:sinR",0.0645,0.0195,"sinR","m54"
"plate1","H","M54",0.079,"Vegetative","Vegetative:sinR",0.0645,0.0145,"sinR","m54"
"plate1","A","M79",1.244,"Vegetative","Vegetative:ywcC/slrR",0.0645,1.1795,"ywcC/slrR","m79"
"plate1","B","M79",1.079,"Vegetative","Vegetative:ywcC/slrR",0.0645,1.0145,"ywcC/slrR","m79"
"plate1","C","M79",1.35,"Vegetative","Vegetative:ywcC/slrR",0.0645,1.2855,"ywcC/slrR","m79"
"plate1","D","M79",1.265,"Vegetative","Vegetative:ywcC/slrR",0.0645,1.2005,"ywcC/slrR","m79"
"plate1","E","M79",1.127,"Vegetative","Vegetative:ywcC/slrR",0.0645,1.0625,"ywcC/slrR","m79"
"plate1","F","M79",1.226,"Vegetative","Vegetative:ywcC/slrR",0.0645,1.1615,"ywcC/slrR","m79"
"plate1","G","M79",1.944,"Vegetative","Vegetative:ywcC/slrR",0.0645,1.8795,"ywcC/slrR","m79"
"plate1","H","M79",1.708,"Vegetative","Vegetative:ywcC/slrR",0.0645,1.6435,"ywcC/slrR","m79"
"plate1","A","Ancestor",0.171,"Ancestor","Ancestor",0.0645,0.1065,"ancestor","ancestor"
"plate1","B","Ancestor",0.187,"Ancestor","Ancestor",0.0645,0.1225,"ancestor","ancestor"
"plate1","C","Ancestor",0.152,"Ancestor","Ancestor",0.0645,0.0875,"ancestor","ancestor"
"plate1","D","Ancestor",0.176,"Ancestor","Ancestor",0.0645,0.1115,"ancestor","ancestor"
"plate1","E","Ancestor",0.158,"Ancestor","Ancestor",0.0645,0.0935,"ancestor","ancestor"
"plate1","F","Ancestor",0.176,"Ancestor","Ancestor",0.0645,0.1115,"ancestor","ancestor"
"plate1","G","Ancestor",0.132,"Ancestor","Ancestor",0.0645,0.0675,"ancestor","ancestor"
"plate1","H","Ancestor",0.134,"Ancestor","Ancestor",0.0645,0.0695,"ancestor","ancestor"
